==================================================================================================================================
  FULL TRADE LOG - CRV/USDT Mean Reversion Bot (SL=20% | CB=50% | Cooldown=24h)
==================================================================================================================================
    # Dir    Entry Date       Exit Date           Entry     Exit      PnL ($)    PnL % Reason              Dur       Eq After
  --- ------ ---------------- ---------------- -------- -------- ------------ -------- ---------------- ------ --------------
   37 LONG   2026-02-06 00:00 2026-02-13 12:00   0.2304   0.2460 $ +172288.51   +6.77% flip               180h $ 1,565,120.90
   38 SHORT  2026-02-13 12:00 2026-02-19 08:00   0.2460   0.2421 $  +44071.82   +1.59% flip               140h $ 1,607,608.81
   39 LONG   2026-02-19 08:00 2026-02-25 08:00   0.2421   0.2426 $   +4482.15   +0.21% flip               144h $ 1,610,464.06
   40 SHORT  2026-02-25 08:00 2026-02-28 04:00   0.2426   0.2322 $ +125401.70   +4.29% flip                68h $ 1,734,235.97
   41 LONG   2026-02-28 04:00 2026-03-02 12:00   0.2322   0.2588 $ +363793.81  +11.46% flip                56h $ 2,096,274.74
   42 SHORT  2026-03-02 12:00 2026-03-07 12:00   0.2588   0.2357 $ +342160.11   +8.93% flip               120h $ 2,436,313.42
   43 LONG   2026-03-07 12:00 2026-03-10 08:00   0.2357   0.2512 $ +292331.48   +6.58% flip                68h $ 2,726,179.34
   44 SHORT  2026-03-10 08:00 2026-03-22 08:00   0.2512   0.2198 $ +624262.36  +12.50% flip               288h $ 3,347,682.81
   45 LONG   2026-03-22 08:00 2026-03-25 04:00   0.2198   0.2346 $ +411371.46   +6.73% flip                68h $ 3,755,666.41
   46 SHORT  2026-03-25 04:00 2026-03-27 20:00   0.2346   0.2075 $ +794462.48  +11.55% flip                64h $ 4,546,328.16
   47 LONG   2026-03-27 20:00 2026-04-22 04:00   0.2075   0.2370 $+1184674.74  +14.22% flip               608h $ 5,726,402.02

  Total: 47 | Wins: 41 | Losses: 6 | Win Rate: 87.2%
  Final Equity: $5,726,402.02
